net,length_um
net27,275.22
net14,249.86
net8,229.15
net6,206.08
net25,197.26
net26,196.64
net34,192.22
net21,191.2
net19,186.33
net16,178.46
net22,176.44
net29,172.7
net18,164.25
net12,161.08
_0026_,159.4
net5,159.4
_0632_,158.48
net2,157.81
net10,150.93
net9,146.16
net3,144.49
net1,141.72
net15,140.92
net7,140.32
_0478_,136.46
_0390_,135.66
_0599_,134
net11,133.56
net13,129.53
_0709_,129.09
_0621_,127.06
_0379_,122.19
_0489_,120
_0731_,112.39
_0044_,108.5
_0720_,108.3
_0043_,106.64
net37,106.22
net35,105.8
_0326_,104.33
net4,104.27
_0456_,101.64
net28,101.52
_0108_,101.04
net20,100.4
net32,97.78
net24,96.42
_0094_,95.935
net23,95.835
_0533_,95.82
_0128_,95.005
net30,94.28
_0236_,92.58
_0434_,91.52
_0095_,91.38
_0119_,90.405
_0610_,89.6
_0401_,89.3
_0522_,87.17
_0500_,86.495
_0113_,85.92
net17,83.94
_0077_,83.85
_0511_,79.64
net33,77.88
_0099_,77.68
_0766_,77.26
_0445_,76.99
_0412_,76.22
_0771_,75.24
_0104_,74.55
_0550_,74.06
_0552_,74.02
_0024_,73.335
_0544_,73.22
_0111_,72.62
_0557_,71.69
_0149_,67.895
_0556_,67.8
_0560_,65.98
clk,64.24
_0466_,60.5
_0730_,60.2
_0462_,59.56
_0237_,58
_0475_,57.6
_0748_,57.22
_0772_,55.16
_0385_,54.04
_0112_,54.015
_0707_,53.96
_0733_,53.82
_0010_,53.7
_0386_,53.32
_0061_,50.195
_0423_,49.92
_0768_,49.06
_0170_,48.32
_0755_,48.2
_0510_,47.24
net31,47.06
_0712_,46.66
_0238_,46.54
_0770_,46.46
_0465_,45.78
_0322_,45.08
_0461_,44.6
_0713_,43.88
_0290_,43.5
_0467_,41.72
net36,41.54
_0409_,41.46
_0203_,39.98
clknet_1_1__leaf_clk,39.84
_0774_,39.22
_0182_,38.71
_0181_,38.24
_0728_,37.4
clknet_1_0__leaf_clk,37.4
_0148_,37.31
_0734_,36.88
_0818_,36.54
_0348_,36.14
_0202_,36.04
_0345_,35.04
_0239_,34.42
_0166_,32.12
_0030_,30.78
_0753_,30.38
_0528_,30.26
_0640_,30.12
_0251_,29.66
_0364_,29.46
_0277_,29.18
_0371_,29.07
net43,28.88
net39,28.74
_0444_,28.64
_0177_,28.48
clknet_0_clk,28.46
_0620_,27.6
_0136_,27.58
_0178_,27.52
_0447_,27.26
_0485_,27.2
_0205_,27.1
_0216_,26.52
_0234_,26.42
_0695_,26.32
_0365_,26.22
_0492_,25.8
_0765_,25.64
_0642_,25.58
_0641_,25.48
_0622_,25.38
_0359_,25.36
_0477_,25.36
_0819_,25.3
_0105_,25.28
_0193_,25.27
_0735_,25.22
_0699_,25.06
_0212_,25
_0352_,24.98
_0248_,24.975
_0314_,24.96
_0501_,24.86
_0274_,24.835
_0210_,24.66
_0025_,24.52
_0354_,24.52
_0211_,24.4
scale[5],24.26
_0736_,24.1
_0344_,23.88
_0100_,23.86
_0380_,23.84
_0122_,23.72
_0454_,23.62
_0378_,23.59
_0391_,23.54
_0126_,23.52
_0283_,23.52
_0541_,23.3
_0726_,23.3
_0483_,23.18
_0392_,23.1
_0279_,22.8
_0535_,22.78
_0515_,22.63
_0404_,22.62
_0381_,22.54
_0573_,22.48
_0098_,22.14
_0590_,22.06
_0231_,21.98
_0624_,21.84
_0062_,21.82
_0327_,21.72
_0325_,21.535
_0286_,21.5
_0508_,21.46
_0102_,21.44
_0747_,21.38
_0593_,21.36
_0150_,21.34
_0595_,21.26
_0135_,21.2
_0209_,21.14
_0575_,20.98
_0358_,20.95
_0686_,20.88
_0421_,20.86
_0576_,20.8
_0402_,20.74
_0254_,20.68
_0512_,20.62
_0246_,20.595
_0071_,20.54
_0589_,20.48
_0284_,20.32
_0654_,20.28
_0225_,20.26
_0192_,20.2
_0653_,20.16
_0756_,20.08
_0252_,20.04
_0418_,19.9
_0417_,19.66
_0579_,19.6
_0725_,19.6
_0161_,19.48
_0652_,19.47
_0129_,19.4
_0213_,19.3
_0275_,19.28
_0702_,19.22
_0127_,19.12
_0334_,19.08
_0630_,19.08
_0017_,19.05
_0374_,19.04
_0083_,18.96
_0455_,18.82
_0763_,18.8
_0674_,18.7
_0468_,18.66
_0247_,18.635
_0240_,18.62
_0496_,18.3
_0505_,18.26
_0698_,18.02
_0514_,17.96
_0084_,17.9
_0032_,17.82
_0019_,17.52
_0471_,17.48
_0185_,17.44
_0432_,17.36
_0718_,17.34
_0294_,17.28
_0387_,16.98
_0197_,16.9
_0484_,16.88
_0408_,16.82
_0580_,16.76
_0287_,16.68
_0724_,16.66
_0228_,16.64
_0617_,16.61
_0120_,16.56
_0045_,16.44
_0316_,16.345
_0645_,16.34
_0406_,16.25
_0308_,16.24
_0190_,16.18
_0413_,16.16
_0307_,16.11
_0370_,16.08
_0258_,16.06
_0293_,16.06
_0424_,16.05
_0811_,16.04
_0048_,15.94
_0459_,15.8
_0144_,15.78
_0591_,15.78
_0517_,15.745
_0309_,15.585
_0245_,15.56
_0472_,15.46
_0744_,15.44
_0531_,15.4
_0233_,15.38
_0536_,15.38
_0133_,15.26
_0569_,15.24
_0752_,15.22
_0547_,15.18
_0497_,15.02
_0605_,14.895
_0265_,14.88
data_out[0],14.82
_0297_,14.8
_0021_,14.78
_0399_,14.78
_0741_,14.78
_0368_,14.76
_0450_,14.72
_0333_,14.68
_0490_,14.66
_0419_,14.62
_0554_,14.38
_0243_,14.32
_0366_,14.32
_0691_,14.3
_0223_,14.18
_0400_,14.14
_0318_,14.1
scale[3],14.1
_0356_,14.06
_0180_,14.04
_0440_,14
_0638_,13.98
_0446_,13.96
_0649_,13.94
_0301_,13.92
_0319_,13.9
_0607_,13.88
_0035_,13.82
_0347_,13.78
_0253_,13.72
_0439_,13.68
_0524_,13.66
_0072_,13.6
_0656_,13.59
_0684_,13.54
_0704_,13.5
_0646_,13.42
_0769_,13.38
_0107_,13.36
_0457_,13.36
_0141_,13.3
_0644_,13.3
_0551_,13.26
_0152_,13.22
_0715_,13.22
_0346_,13.12
_0716_,13.12
_0125_,13.1
_0162_,13.1
_0572_,13.08
_0609_,13.08
_0703_,13.07
_0199_,13.06
_0437_,13.06
_0639_,13.06
_0012_,12.97
_0323_,12.9
_0519_,12.9
_0661_,12.85
_0606_,12.82
_0232_,12.8
_0611_,12.8
_0813_,12.78
_0414_,12.72
_0117_,12.7
_0436_,12.68
_0588_,12.64
_0791_,12.62
_0743_,12.6
_0188_,12.58
_0291_,12.52
_0441_,12.51
_0065_,12.48
_0088_,12.48
_0198_,12.46
_0315_,12.44
_0657_,12.44
_0207_,12.42
scale[1],12.38
_0636_,12.375
_0106_,12.34
_0670_,12.32
_0153_,12.26
_0179_,12.23
data_in[7],12.21
_0073_,12.12
_0132_,12.1
_0242_,12.1
_0103_,12.04
_0750_,12.02
_0089_,11.98
_0016_,11.92
_0427_,11.9
_0321_,11.88
_0804_,11.84
_0429_,11.82
_0523_,11.78
_0176_,11.76
_0504_,11.76
valid_in,11.75
_0433_,11.7
_0267_,11.67
_0792_,11.625
_0375_,11.62
_0678_,11.62
_0548_,11.56
_0256_,11.54
_0114_,11.52
_0273_,11.5
_0313_,11.48
_0410_,11.46
_0372_,11.42
_0708_,11.38
_0416_,11.3
_0296_,11.29
_0196_,11.28
_0727_,11.24
data_out[6],11.24
_0195_,11.22
_0263_,11.22
data_in[4],11.22
_0271_,11.2
_0060_,11.12
_0650_,11.12
_0255_,11.08
_0218_,11.04
_0675_,11.04
_0227_,11.03
data_in[15],11.02
_0118_,10.975
_0109_,10.96
_0534_,10.96
_0145_,10.94
_0230_,10.94
_0677_,10.94
_0737_,10.92
_0217_,10.88
data_in[14],10.88
scale[4],10.88
_0671_,10.86
_0539_,10.84
_0046_,10.82
_0751_,10.82
_0660_,10.8
_0503_,10.74
_0668_,10.72
_0355_,10.64
_0200_,10.6
_0566_,10.6
_0553_,10.5
_0306_,10.42
data_in[11],10.42
data_in[12],10.42
data_in[13],10.42
_0058_,10.405
_0567_,10.4
_0097_,10.36
_0398_,10.33
_0139_,10.32
_0038_,10.3
_0594_,10.3
_0633_,10.28
_0262_,10.2
_0076_,10.18
_0151_,10.16
_0169_,10.12
_0295_,10.12
_0469_,10.12
_0087_,10.08
_0201_,10.08
_0688_,10.08
_0754_,10.08
_0037_,10.06
_0009_,10.04
_0023_,10.04
_0206_,10.04
_0463_,10.04
_0592_,10.04
_0303_,9.98
_0020_,9.96
_0029_,9.96
_0131_,9.9
_0388_,9.88
_0473_,9.88
_0690_,9.88
_0184_,9.86
data_out[1],9.86
_0214_,9.84
_0067_,9.82
_0304_,9.82
_0614_,9.82
_0643_,9.82
_0285_,9.76
_0722_,9.72
_0270_,9.7
_0435_,9.7
_0543_,9.7
_0666_,9.7
_0655_,9.68
_0760_,9.66
_0329_,9.62
_0288_,9.56
_0160_,9.5
_0093_,9.48
_0173_,9.48
_0189_,9.48
_0121_,9.44
_0146_,9.42
_0257_,9.42
_0070_,9.38
_0222_,9.36
_0482_,9.36
_0701_,9.36
_0092_,9.34
_0789_,9.3
_0814_,9.3
_0518_,9.28
_0742_,9.28
_0513_,9.26
_0134_,9.24
_0156_,9.24
_0332_,9.24
_0495_,9.16
_0732_,9.14
_0235_,9.12
_0578_,9.08
_0407_,9.05
_0031_,9.04
_0631_,9.04
_0807_,9.04
_0053_,9.02
_0376_,9.02
_0494_,9.02
_0204_,9
_0289_,9
_0340_,9
_0458_,9
data_out[5],8.96
_0603_,8.94
_0143_,8.9
_0317_,8.9
_0336_,8.88
_0662_,8.88
_0171_,8.86
data_in[1],8.84
_0689_,8.82
_0187_,8.815
_0705_,8.8
_0130_,8.78
_0491_,8.78
_0079_,8.76
round_mode,8.72
scale[6],8.72
_0300_,8.7
_0545_,8.7
_0078_,8.68
_0163_,8.68
_0438_,8.655
_0154_,8.62
_0157_,8.58
_0396_,8.58
_0525_,8.58
_0563_,8.58
_0648_,8.575
_0281_,8.49
_0140_,8.48
_0529_,8.48
_0562_,8.48
_0453_,8.46
_0164_,8.44
_0186_,8.44
_0330_,8.44
_0331_,8.44
_0261_,8.36
_0367_,8.36
_0167_,8.32
_0428_,8.32
_0460_,8.32
_0055_,8.24
_0115_,8.22
_0502_,8.22
_0587_,8.2
_0282_,8.15
_0249_,8.12
_0602_,8.12
_0775_,8.12
_0464_,8.11
_0208_,8.1
_0537_,8.1
_0613_,8.1
_0669_,8.1
_0759_,8.1
_0449_,8.08
_0049_,8.02
_0155_,8.02
_0229_,8.02
_0616_,8
_0696_,7.98
_0080_,7.9
_0082_,7.88
_0565_,7.88
_0805_,7.84
_0506_,7.82
_0389_,7.78
_0681_,7.78
_0221_,7.74
_0581_,7.7
_0549_,7.68
_0090_,7.66
_0011_,7.64
_0268_,7.64
_0800_,7.62
_0627_,7.6
data_out[3],7.58
overflow,7.58
_0420_,7.52
_0101_,7.5
_0658_,7.5
_0499_,7.48
_0350_,7.44
_0796_,7.42
_0052_,7.4
_0598_,7.4
_0629_,7.34
_0757_,7.34
_0302_,7.32
_0349_,7.32
_0361_,7.32
_0488_,7.32
_0530_,7.32
_0723_,7.32
_0773_,7.32
_0583_,7.25
_0183_,7.22
_0415_,7.22
_0033_,7.18
_0615_,7.18
net42,7.18
_0527_,7.16
_0264_,7.1
_0808_,7.1
_0028_,7.08
_0027_,7.06
_0244_,7.06
_0397_,7
_0064_,6.98
_0328_,6.98
_0693_,6.98
_0584_,6.95
_0003_,6.94
_0442_,6.94
_0601_,6.94
_0634_,6.88
_0676_,6.86
_0493_,6.84
_0219_,6.82
_0786_,6.76
_0335_,6.74
_0790_,6.72
net38,6.72
_0582_,6.64
_0623_,6.64
_0147_,6.6
_0269_,6.6
_0498_,6.6
_0474_,6.54
_0672_,6.54
net41,6.525
_0215_,6.52
_0476_,6.52
_0546_,6.52
_0577_,6.52
_0679_,6.52
_0746_,6.52
_0165_,6.5
_0538_,6.5
_0664_,6.48
_0758_,6.48
_0425_,6.4
_0776_,6.4
_0393_,6.38
data_in[5],6.31
_0635_,6.3
_0224_,6.28
_0342_,6.28
_0509_,6.28
_0520_,6.28
_0586_,6.28
_0612_,6.275
_0174_,6.26
_0486_,6.26
_0779_,6.26
_0806_,6.2
_0063_,6.18
_0362_,6.18
_0426_,6.18
_0014_,6.14
_0110_,6.14
_0411_,6.11
data_in[3],6.09
scale[0],6.09
_0259_,6.08
_0339_,6.08
_0338_,6.06
_0481_,6.06
_0241_,6.04
_0250_,6.02
_0124_,5.98
data_in[2],5.97
data_in[9],5.97
_0036_,5.96
_0761_,5.96
_0034_,5.94
_0142_,5.94
_0383_,5.94
_0394_,5.94
_0526_,5.94
_0341_,5.84
_0395_,5.84
_0793_,5.84
_0680_,5.83
_0320_,5.82
_0042_,5.8
_0542_,5.8
_0809_,5.8
_0006_,5.72
_0272_,5.72
_0337_,5.72
_0781_,5.72
_0710_,5.7
_0479_,5.68
data_in[6],5.63
data_out[2],5.63
_0745_,5.62
_0777_,5.62
_0382_,5.6
_0451_,5.6
_0220_,5.58
_0561_,5.52
_0001_,5.5
_0673_,5.5
_0767_,5.5
_0276_,5.48
_0651_,5.475
_0422_,5.46
rst_n,5.41
scale[2],5.41
_0050_,5.38
_0260_,5.38
_0369_,5.38
_0571_,5.36
_0158_,5.34
_0480_,5.34
_0711_,5.34
_0798_,5.34
data_in[0],5.29
_0068_,5.28
_0085_,5.26
_0324_,5.26
_0816_,5.26
_0175_,5.24
_0625_,5.16
_0081_,5.14
_0298_,5.14
_0568_,5.14
_0570_,5.14
data_out[4],5.07
valid_out,5.07
_0443_,5.06
_0403_,5.02
_0056_,4.995
data_in[10],4.95
_0637_,4.92
_0714_,4.92
_0739_,4.92
_0018_,4.88
_0353_,4.88
_0717_,4.88
_0086_,4.82
_0783_,4.82
_0812_,4.82
_0066_,4.8
_0310_,4.8
_0516_,4.8
_0597_,4.8
_0788_,4.8
_0564_,4.78
data_in[8],4.73
_0817_,4.72
_0405_,4.62
_0159_,4.57
_0721_,4.56
_0683_,4.555
_0004_,4.54
_0172_,4.46
_0191_,4.46
_0373_,4.46
_0137_,4.42
_0558_,4.42
data_out[7],4.39
_0628_,4.36
_0069_,4.34
_0096_,4.34
_0448_,4.34
_0663_,4.34
_0810_,4.34
_0292_,4.28
scale[7],4.27
_0041_,4.22
_0604_,4.12
_0749_,4.1
_0005_,4
_0008_,4
_0015_,4
_0470_,4
_0619_,4
_0540_,3.9
_0116_,3.88
_0299_,3.88
_0719_,3.86
_0596_,3.56
_0559_,3.54
_0608_,3.54
_0626_,3.54
_0278_,3.44
_0305_,3.42
_0521_,3.42
_0013_,3.3
_0057_,3.295
_0764_,3.22
_0452_,3.18
_0801_,3.1
_0002_,3.08
_0194_,3.08
_0384_,3.08
_0687_,3.08
_0780_,3.08
_0797_,3.08
_0585_,3.075
_0600_,3.06
_0351_,3.01
_0059_,2.98
_0040_,2.96
_0266_,2.96
_0665_,2.96
_0667_,2.96
_0795_,2.96
net44,2.76
_0051_,2.64
_0706_,2.64
_0047_,2.62
_0312_,2.62
_0740_,2.62
_0785_,2.62
_0815_,2.52
_0123_,2.5
_0360_,2.5
_0430_,2.5
_0694_,2.5
_0697_,2.5
net40,2.5
_0311_,2.4
_0054_,2.3
_0075_,2.3
_0532_,2.3
_0000_,2.18
_0091_,2.18
_0138_,2.18
_0226_,2.18
_0007_,2.16
_0022_,2.16
_0168_,2.16
_0363_,2.16
_0659_,2.16
_0685_,2.16
_0692_,2.16
_0700_,2.16
_0784_,2.16
_0778_,2.06
_0787_,2.06
_0799_,2.06
_0431_,2.04
_0487_,2.04
_0555_,2.04
_0574_,2.04
_0682_,2.04
_0738_,2.04
_0794_,1.84
_0074_,1.72
_0377_,1.72
_0647_,1.72
_0343_,1.7
_0357_,1.7
_0507_,1.7
_0618_,1.7
_0762_,1.7
_0782_,1.6
_0802_,1.48
_0039_,1.38
_0280_,1.14
_0803_,1.14
_0729_,0.92
